1660267282,17000.0,1,1660267259,1660192993,Tiger Sivel
1660267352,9000.0,1,1660267316,1660192193,Boncha 
1660267808,10000.0,1,1660267779,1660192126,Pepsi
1660267933,9000.0,4,1660267921,1660192193,Boncha 
1660444984,12000.0,1,1660444965,1660270619,Tra Xanh O Long
1660445374,11000.0,3,1660445359,1660270429,Number One
1660445419,12000.0,2,1660445393,1660270619,Tra Xanh O Long
1660446635,17000.0,2,1660446619,1660192993,Tiger Sivel
1660446650,10000.0,1,1660446619,1660192957,Huda
1660446899,17000.0,1,1660446876,1660192993,Tiger Sivel
1660446911,12000.0,3,1660446876,1660270619,Tra Xanh O Long
1660447278,11000.0,2,1660447265,1660270429,Number One
1660447396,17000.0,1,1660447389,1660192993,Tiger Sivel
1660447407,9000.0,4,1660447389,1660192193,Boncha 
1660447415,10000.0,2,1660447389,1660192957,Huda
1660447423,11000.0,4,1660447389,1660270429,Number One
1660525303,12000.0,1,1660525283,1660270619,Tra Xanh O Long
1660525317,11000.0,1,1660525283,1660270429,Number One
1660639966,13000.0,999,1660639941,1660192065,Cocacola
1660640251,12000.0,1,1660640238,1660270619,Tra Xanh O Long
1660640586,9000.0,1,1660640569,1660192193,Boncha 
1660640719,12000.0,1,1660640702,1660270619,Tra Xanh O Long
1660640866,9000.0,5,1660640851,1660192193,Boncha 
1660641263,9000.0,30,1660641252,1660192193,Boncha 
1660641459,12000.0,1,1660641435,1660270619,Tra Xanh O Long
1660641722,11000.0,10,1660641707,1660270429,Number One
1660641951,17000.0,121,1660641939,1660192993,Tiger Sivel
1660642155,14000.0,14,1660642137,1660192238,Sting
1660644286,13000.0,5,1660644263,1660192065,Cocacola
